period,respondent,respondent-name,type,type-name,value,value-units
2023-01-08T22,CISO,California Independent System Operator,D,Demand,20137,megawatthours
2023-01-08T23,CISO,California Independent System Operator,D,Demand,20606,megawatthours
2023-01-09T00,CISO,California Independent System Operator,D,Demand,21262,megawatthours
2023-01-09T01,CISO,California Independent System Operator,D,Demand,22023,megawatthours
2023-01-09T02,CISO,California Independent System Operator,D,Demand,23346,megawatthours
2023-01-09T03,CISO,California Independent System Operator,D,Demand,25549,megawatthours
2023-01-09T04,CISO,California Independent System Operator,D,Demand,25784,megawatthours
2023-01-09T05,CISO,California Independent System Operator,D,Demand,25483,megawatthours
2023-01-09T06,CISO,California Independent System Operator,D,Demand,24865,megawatthours
2023-01-09T07,CISO,California Independent System Operator,D,Demand,23825,megawatthours
2023-01-09T08,CISO,California Independent System Operator,D,Demand,22573,megawatthours
2023-01-09T09,CISO,California Independent System Operator,D,Demand,21183,megawatthours
2023-01-09T10,CISO,California Independent System Operator,D,Demand,20897,megawatthours
2023-01-09T11,CISO,California Independent System Operator,D,Demand,20758,megawatthours
2023-01-09T12,CISO,California Independent System Operator,D,Demand,20933,megawatthours
2023-01-09T13,CISO,California Independent System Operator,D,Demand,20974,megawatthours
2023-01-09T14,CISO,California Independent System Operator,D,Demand,21132,megawatthours
2023-01-09T15,CISO,California Independent System Operator,D,Demand,21885,megawatthours
2023-01-09T16,CISO,California Independent System Operator,D,Demand,23885,megawatthours
2023-01-09T17,CISO,California Independent System Operator,D,Demand,25814,megawatthours
2023-01-09T18,CISO,California Independent System Operator,D,Demand,26183,megawatthours
2023-01-09T19,CISO,California Independent System Operator,D,Demand,26593,megawatthours
2023-01-09T20,CISO,California Independent System Operator,D,Demand,26531,megawatthours
2023-01-09T21,CISO,California Independent System Operator,D,Demand,26928,megawatthours
2023-01-09T22,CISO,California Independent System Operator,D,Demand,25993,megawatthours
2023-01-09T23,CISO,California Independent System Operator,D,Demand,25551,megawatthours
2023-01-10T00,CISO,California Independent System Operator,D,Demand,25506,megawatthours
2023-01-10T01,CISO,California Independent System Operator,D,Demand,25913,megawatthours
2023-01-10T02,CISO,California Independent System Operator,D,Demand,26785,megawatthours
2023-01-10T03,CISO,California Independent System Operator,D,Demand,27985,megawatthours
2023-01-10T04,CISO,California Independent System Operator,D,Demand,27911,megawatthours
2023-01-10T05,CISO,California Independent System Operator,D,Demand,27314,megawatthours
2023-01-10T06,CISO,California Independent System Operator,D,Demand,26570,megawatthours
2023-01-10T07,CISO,California Independent System Operator,D,Demand,25712,megawatthours
2023-01-10T08,CISO,California Independent System Operator,D,Demand,24208,megawatthours
2023-01-10T09,CISO,California Independent System Operator,D,Demand,22770,megawatthours
2023-01-10T10,CISO,California Independent System Operator,D,Demand,22130,megawatthours
2023-01-10T11,CISO,California Independent System Operator,D,Demand,21528,megawatthours
2023-01-10T12,CISO,California Independent System Operator,D,Demand,21162,megawatthours
2023-01-10T13,CISO,California Independent System Operator,D,Demand,20912,megawatthours
2023-01-10T14,CISO,California Independent System Operator,D,Demand,21231,megawatthours
2023-01-10T15,CISO,California Independent System Operator,D,Demand,22155,megawatthours
2023-01-10T16,CISO,California Independent System Operator,D,Demand,23913,megawatthours
2023-01-10T17,CISO,California Independent System Operator,D,Demand,25578,megawatthours
2023-01-10T18,CISO,California Independent System Operator,D,Demand,26361,megawatthours
2023-01-10T19,CISO,California Independent System Operator,D,Demand,26603,megawatthours
2023-01-10T20,CISO,California Independent System Operator,D,Demand,26430,megawatthours
2023-01-10T21,CISO,California Independent System Operator,D,Demand,26488,megawatthours
2023-01-10T22,CISO,California Independent System Operator,D,Demand,26615,megawatthours
2023-01-10T23,CISO,California Independent System Operator,D,Demand,26207,megawatthours
2023-01-11T00,CISO,California Independent System Operator,D,Demand,25524,megawatthours
2023-01-11T01,CISO,California Independent System Operator,D,Demand,25670,megawatthours
2023-01-11T02,CISO,California Independent System Operator,D,Demand,26579,megawatthours
2023-01-11T03,CISO,California Independent System Operator,D,Demand,28332,megawatthours
2023-01-11T04,CISO,California Independent System Operator,D,Demand,28445,megawatthours
2023-01-11T05,CISO,California Independent System Operator,D,Demand,27840,megawatthours
2023-01-11T06,CISO,California Independent System Operator,D,Demand,27229,megawatthours
2023-01-11T07,CISO,California Independent System Operator,D,Demand,26229,megawatthours
2023-01-11T08,CISO,California Independent System Operator,D,Demand,24734,megawatthours
2023-01-11T09,CISO,California Independent System Operator,D,Demand,23699,megawatthours
2023-01-11T10,CISO,California Independent System Operator,D,Demand,22746,megawatthours
2023-01-11T11,CISO,California Independent System Operator,D,Demand,22023,megawatthours
2023-01-11T12,CISO,California Independent System Operator,D,Demand,21942,megawatthours
2023-01-11T13,CISO,California Independent System Operator,D,Demand,21733,megawatthours
2023-01-11T14,CISO,California Independent System Operator,D,Demand,21918,megawatthours
2023-01-11T15,CISO,California Independent System Operator,D,Demand,23271,megawatthours
2023-01-11T16,CISO,California Independent System Operator,D,Demand,25796,megawatthours
2023-01-11T17,CISO,California Independent System Operator,D,Demand,27246,megawatthours
2023-01-11T18,CISO,California Independent System Operator,D,Demand,27408,megawatthours
2023-01-11T19,CISO,California Independent System Operator,D,Demand,27809,megawatthours
2023-01-11T20,CISO,California Independent System Operator,D,Demand,26842,megawatthours
2023-01-11T21,CISO,California Independent System Operator,D,Demand,26005,megawatthours
2023-01-11T22,CISO,California Independent System Operator,D,Demand,25732,megawatthours
2023-01-11T23,CISO,California Independent System Operator,D,Demand,25622,megawatthours
2023-01-12T00,CISO,California Independent System Operator,D,Demand,25832,megawatthours
2023-01-12T01,CISO,California Independent System Operator,D,Demand,26276,megawatthours
