datetime,Actual Demand,SARIMA Forecast,Prophet Forecast,Hybrid Forecast
2023-11-05 15:00:00,19780.0,23164.134374849546,16620.993805615566,21201.192204079347
2023-11-05 16:00:00,20025.0,24200.40350694652,17582.70626041141,22215.094332985984
2023-11-05 17:00:00,20260.0,24688.550121509328,18074.81776874689,22704.4304156806
2023-11-05 18:00:00,20591.0,24610.556273200604,17951.047799653054,22612.70373113633
2023-11-05 19:00:00,20724.0,23781.899791788263,17435.641327416666,21878.022252476785
2023-11-05 20:00:00,20677.0,23045.254772650194,16924.584328452424,21209.053639390862
2023-11-05 21:00:00,20552.0,22764.579557800644,16714.13837876966,20949.447204091342
2023-11-05 22:00:00,20731.0,22764.584387859984,16889.87001386796,21002.170075662376
2023-11-05 23:00:00,21065.0,23169.018583829617,17422.295092482476,21445.001536425472
2023-11-06 00:00:00,22439.0,24209.800278841816,18304.5895272875,22438.23705337552
2023-11-06 01:00:00,23703.0,25634.11120882311,19547.923094198835,23808.254774435827
2023-11-06 02:00:00,25218.0,27186.231658597728,21033.17163826449,25340.31365249776
2023-11-06 03:00:00,26745.0,28057.318462352145,22404.98024302903,26361.61699655521
2023-11-06 04:00:00,26374.0,27685.340283266265,23181.12577701705,26334.075931391497
2023-11-06 05:00:00,25590.0,26823.502261304508,23039.351944267102,25688.25716619328
2023-11-06 06:00:00,24883.0,25981.07989013159,22046.41583118212,24800.680672446742
2023-11-06 07:00:00,24062.0,24571.44042362881,20617.55210164674,23385.273927034188
2023-11-06 08:00:00,22729.0,23195.74557977576,19229.81532447269,22005.96650318484
2023-11-06 09:00:00,21514.0,22377.765596680576,18136.187180511948,21105.292071829987
2023-11-06 10:00:00,21137.0,21646.352182665385,17319.810223819528,20348.389595011628
2023-11-06 11:00:00,20718.0,21191.69195396508,16693.54641289742,19842.248291644777
2023-11-06 12:00:00,20229.0,20929.66650927545,16316.43914996304,19545.698301481727
2023-11-06 13:00:00,19996.0,20990.043671471103,16393.43262633584,19611.060357930524
2023-11-06 14:00:00,20242.0,21639.721579253863,17051.602343786442,20263.28580861364
2023-11-06 15:00:00,21469.0,23178.30784790053,18120.491941418197,21660.963075955828
2023-11-06 16:00:00,23201.0,24213.185152112863,19154.046130235543,22695.44344554967
2023-11-06 17:00:00,23820.0,24701.32876140721,19706.107190534287,23202.762290145336
2023-11-06 18:00:00,24041.0,24623.210759075624,19630.18923459603,23125.304301731743
2023-11-06 19:00:00,23868.0,23794.34506352208,19150.437650179505,22401.172839519302
2023-11-06 20:00:00,23346.0,23057.20847465969,18662.844643737502,21738.89932538303
2023-11-06 21:00:00,23321.0,22776.16670586743,18463.7827760368,21482.45152691824
2023-11-06 22:00:00,23915.0,22776.306033908622,18639.032168188933,21535.123874192715
2023-11-06 23:00:00,24233.0,23181.423625801483,19159.421648954994,21974.823032747536
2023-11-07 00:00:00,25185.0,24222.34334625116,20018.53524780713,22961.20091671795
2023-11-07 01:00:00,25967.0,25646.24265630167,21228.04079836824,24320.78209892164
2023-11-07 02:00:00,27273.0,27197.808539156315,22669.39603443122,25839.284787738783
2023-11-07 03:00:00,28392.0,28068.420516757968,23987.904819265128,26844.26580751012
2023-11-07 04:00:00,28079.0,27696.049173799045,24702.07200584222,26797.856023411998
2023-11-07 05:00:00,27114.0,26833.76610435032,24490.43014611018,26130.765316878274
2023-11-07 06:00:00,26297.0,25990.94380759786,23420.57714060429,25219.83380749979
2023-11-07 07:00:00,25376.0,24580.95689118644,21908.631085131718,23779.259149370017
2023-11-07 08:00:00,24213.0,23204.940310219576,20432.56290788065,22373.2270895179
2023-11-07 09:00:00,22572.0,22386.58063836297,19246.29365641802,21444.494543779485
2023-11-07 10:00:00,21633.0,21654.84089402184,18333.91822517669,20658.56409336829
2023-11-07 11:00:00,21160.0,21199.80623559849,17609.253852097085,20122.64052054807
2023-11-07 12:00:00,20901.0,20937.34432428152,17132.29223885277,19795.82869865289
2023-11-07 13:00:00,20695.0,20997.30491393277,17108.90920419338,19830.786201010957
2023-11-07 14:00:00,20987.0,21646.654751940143,17667.085848137347,20452.784080799305
2023-11-07 15:00:00,22130.0,23184.65071251412,18637.23646165912,21820.426437257614
2023-11-07 16:00:00,23871.0,24219.03054230076,19574.133080437987,22825.561303741924
2023-11-07 17:00:00,24896.0,24707.09705898429,20032.394229038204,23304.686210000466
2023-11-07 18:00:00,24680.0,24628.86845252522,19866.252140737317,23200.083558988845
2023-11-07 19:00:00,24415.0,23799.86937663852,19300.5059400836,22450.06034567205
2023-11-07 20:00:00,24104.0,23062.517233790724,18731.731771680417,21763.28159515763
2023-11-07 21:00:00,23790.0,22781.300059330704,18456.81181937849,21483.95358734504
2023-11-07 22:00:00,23459.0,22781.417038956693,18561.957934729515,21515.57930768854
2023-11-07 23:00:00,23838.0,23186.679624154654,19018.350175632724,21936.180789598075
2023-11-08 00:00:00,24347.0,24227.582737721623,19819.841675806438,22905.260419147067
2023-11-08 01:00:00,24705.0,25651.302468750317,20978.286615855108,24249.39771288175
2023-11-08 02:00:00,26160.0,27202.647938115977,22375.246670612967,25754.427557865078
2023-11-08 03:00:00,27686.0,28073.065509473698,23656.048553671862,26747.960422733147
2023-11-08 04:00:00,27353.0,27700.52626729218,24339.14112836669,26692.11072561453
2023-11-08 05:00:00,26743.0,26838.06159750161,24102.925259031315,26017.520695960524
2023-11-08 06:00:00,26079.0,25995.073079648148,23014.79544298005,25100.98978864772
2023-11-08 07:00:00,25271.0,24584.93746218741,21490.599417506583,23656.636048783163
2023-11-08 08:00:00,23960.0,23208.781590878512,20007.976263692493,22248.539992722704
2023-11-08 09:00:00,22716.0,22390.266832426794,18820.45978769019,21319.32471900581
2023-11-08 10:00:00,22151.0,21658.38959474921,17911.70888371639,20534.38538143936
2023-11-08 11:00:00,22089.0,21203.20448676422,17195.063115337984,20000.762075336348
2023-11-08 12:00:00,21262.0,20940.57492416844,16730.002272899626,19677.403128787795
2023-11-08 13:00:00,20730.0,21000.375228042427,16721.863716388005,19716.8217745461
2023-11-08 14:00:00,21129.0,21649.59271143807,17298.071379637888,20344.13631189801
2023-11-08 15:00:00,22516.0,23187.37879261215,18288.4715671071,21717.70662496064
2023-11-08 16:00:00,24352.0,24221.5778761786,19247.265339831207,22729.284115274382
2023-11-08 17:00:00,24984.0,24709.591168157327,19728.504936082936,23215.265298535007
2023-11-08 18:00:00,24058.0,24631.300408647265,19585.86841467236,23117.67081045479
2023-11-08 19:00:00,23683.0,23802.23343412069,19043.61991458319,22374.649378259444
2023-11-08 20:00:00,23281.0,23064.78975505018,18497.826427295517,21694.70075672378
2023-11-08 21:00:00,22892.0,22783.49412697292,18244.892944432057,21421.91377221066
2023-11-08 22:00:00,22967.0,22783.57962848395,18370.591626877474,21459.683228002003
2023-11-08 23:00:00,23337.0,23188.86196666188,18845.705230441243,21885.914945795685
2023-11-09 00:00:00,23493.0,24229.73717440076,19663.73615421138,22859.936868343942
2023-11-09 01:00:00,24469.0,25653.380894069534,20836.237835741344,24208.23797657108
2023-11-09 02:00:00,26213.0,27204.63891842704,22244.523832803592,25716.60439274001
2023-11-09 03:00:00,27862.0,28074.97766664528,23533.727189518035,26712.602523507107
2023-11-09 04:00:00,27488.0,27702.36834274194,24222.15854039691,26658.30540203843
2023-11-09 05:00:00,26785.0,26839.83021975634,23988.136126844227,25984.3219918827
2023-11-09 06:00:00,26372.0,25996.773588149452,22899.026774507653,25067.449544056915
2023-11-09 07:00:00,25433.0,24586.57581245571,21370.70404572074,23621.814282435214
2023-11-09 08:00:00,24119.0,23210.361275157888,19880.884121096045,22211.518128939333
2023-11-09 09:00:00,22734.0,22391.783742481257,18683.226231197918,21279.21648909625
2023-11-09 10:00:00,22107.0,21659.849632322832,17761.55939288611,20490.36256049181
2023-11-09 11:00:00,21480.0,21204.60434946073,17029.433748102812,19952.053169053357
2023-11-09 12:00:00,21118.0,20941.91001125473,16546.57533005032,19623.30960689341
2023-11-09 13:00:00,21099.0,21001.648300142395,16518.598140246868,19656.733252173733
2023-11-09 14:00:00,21277.0,21650.812688801183,17073.22749479834,20277.53713060033
2023-11-09 15:00:00,22557.0,23188.522883696973,18040.62985627851,21644.154975471432
2023-11-09 16:00:00,24342.0,24222.655323209918,18975.339038077844,22648.46043767029
2023-11-09 17:00:00,24447.0,24710.640762655457,19431.74631914436,23126.972429602127
2023-11-09 18:00:00,24208.0,24632.319918201694,19263.868751020676,23021.784568047387
2023-11-09 19:00:00,23221.0,23803.221565673022,18696.30314484161,22271.1460394236
2023-11-09 20:00:00,22903.0,23065.739822129333,18125.43672743601,21583.648893721336
2023-11-09 21:00:00,22810.0,22784.41046245742,17847.976419548948,21303.48024958488
2023-11-09 22:00:00,22698.0,22784.476735542765,17949.972469379703,21334.125455693844
2023-11-09 23:00:00,23073.0,23189.75561268684,18402.456757948763,21753.56595626541
2023-11-10 00:00:00,23937.0,24230.61339412401,19199.14721914382,22721.173541629956
2023-11-10 01:00:00,25125.0,25654.225574393306,20351.77516723448,24063.490452245656
2023-11-10 02:00:00,25729.0,27205.44895387987,21741.790933169374,25566.35154766672
2023-11-10 03:00:00,27528.0,28075.755966303008,23014.42045993606,26557.35531439292
2023-11-10 04:00:00,27244.0,27703.11783951817,23688.021353728203,26498.58889378118
2023-11-10 05:00:00,26415.0,26840.5501947507,23440.911598735293,25820.658615946075
2023-11-10 06:00:00,25740.0,25997.465929091257,22340.4100062404,24900.349152236
2023-11-10 07:00:00,25185.0,24587.24258145688,20802.29462522753,23451.758194588077
2023-11-10 08:00:00,23851.0,23211.003783709624,19304.13966800508,22038.94454899826
2023-11-10 09:00:00,22508.0,22392.40100800737,18099.417762788948,21104.506034441845
2023-11-10 10:00:00,22140.0,21660.443670880468,17171.729267110437,20313.829349749456
2023-11-10 11:00:00,21720.0,21205.17440184804,16434.3569071807,19773.92915344784
2023-11-10 12:00:00,21544.0,20942.454919225307,15946.72452649144,19443.735801405142
2023-11-10 13:00:00,21098.0,21002.169109166563,15914.11377674724,19475.75250944077
2023-11-10 14:00:00,21099.0,21651.31228724414,16463.89264712512,20095.086395208436
2023-11-10 15:00:00,21879.0,23188.994621955317,17425.850979955198,21460.05152935528
2023-11-10 16:00:00,23074.0,24223.10217092293,18354.13278392762,22462.41135482434
2023-11-10 17:00:00,23916.0,24711.074562356927,18802.732798217457,22938.572033115088
2023-11-10 18:00:00,23822.0,24632.74017682479,18625.271502899835,22830.499574647303
2023-11-10 19:00:00,22867.0,23803.62806568669,18045.955970107883,22076.326437013053
2023-11-10 20:00:00,22678.0,23066.13071866325,17460.797449190402,21384.5307378214
2023-11-10 21:00:00,22398.0,22784.787215937307,17166.147542950737,21099.19531404133
2023-11-10 22:00:00,21794.0,22784.843856767635,17247.728608807287,21123.70928237953
2023-11-10 23:00:00,22637.0,23190.11798659288,17676.278606268505,21535.96617249557
2023-11-11 00:00:00,23287.0,24230.96696477462,18445.26173712629,22495.25539648012
2023-11-11 01:00:00,23740.0,25654.566236068556,19566.20158111836,23828.056839583493
2023-11-11 02:00:00,25299.0,27205.77590373477,20920.39204051363,25320.160744768426
2023-11-11 03:00:00,26735.0,28076.07020403575,22152.95866329006,26299.136741812043
2023-11-11 04:00:00,26314.0,27703.420367221486,22782.218767154347,26227.059887201343
2023-11-11 05:00:00,25675.0,26840.84091248075,22486.51350587416,25534.542690498773
2023-11-11 06:00:00,25026.0,25997.745515838997,21333.250890991163,24598.39712838464
2023-11-11 07:00:00,24450.0,24587.51176437325,19738.365947869115,23132.76801942201
2023-11-11 08:00:00,23445.0,23211.263060283563,18179.65852202637,21701.7816988064
2023-11-11 09:00:00,22385.0,22392.650182382156,16910.895520598136,20748.123783846942
2023-11-11 10:00:00,21818.0,21660.683444573468,15916.039307306786,19937.290203393462
2023-11-11 11:00:00,21020.0,21205.40463871559,15108.80051161136,19376.42340058432
2023-11-11 12:00:00,20496.0,20942.67535970445,14549.094043351328,19024.600964798512
2023-11-11 13:00:00,20073.0,21002.380152593807,14442.752164900823,19034.491756285912
2023-11-11 14:00:00,20208.0,21651.51488354861,14917.748547731517,19631.38498280348
2023-11-11 15:00:00,20708.0,23189.186851587507,15804.528503752748,20973.78934723708
2023-11-11 16:00:00,21268.0,24223.285002127213,16657.935254546537,21953.68007785301
2023-11-11 17:00:00,21487.0,24711.25162699169,17032.699756282545,22407.686065778944
2023-11-11 18:00:00,21458.0,24632.911396863,16783.208346522864,22278.000481760955
